date_id,category_id,geo_id,sales_qty,sales_amt
2024-10-01T00:00:00,1001,1,4,1536
2024-10-01T00:00:00,1001,2,2,768
2024-10-01T00:00:00,1001,3,8,3072
2024-10-01T00:00:00,1002,1,8,3072
2024-10-01T00:00:00,1002,2,9,3456
2024-10-01T00:00:00,1002,3,7,2688
2024-10-01T00:00:00,1003,1,4,1536
2024-10-01T00:00:00,1003,2,4,1536
2024-10-01T00:00:00,1003,3,1,384
2024-10-01T00:00:00,1004,1,0,0
2024-10-01T00:00:00,1004,2,0,0
2024-10-01T00:00:00,1004,3,4,1536
2024-10-01T00:00:00,1005,1,1,384
2024-10-01T00:00:00,1005,2,5,1920
2024-10-01T00:00:00,1005,3,3,1152
2024-10-01T00:00:00,1006,1,9,3456
2024-10-01T00:00:00,1006,2,4,1536
2024-10-01T00:00:00,1006,3,5,1920
2024-10-01T00:00:00,1007,1,5,1920
2024-10-01T00:00:00,1007,2,8,3072
2024-10-01T00:00:00,1007,3,1,384
2024-10-01T00:00:00,1008,1,4,1536
2024-10-01T00:00:00,1008,2,3,1152
2024-10-01T00:00:00,1008,3,8,3072
2024-10-01T00:00:00,1009,1,7,2688
2024-10-01T00:00:00,1009,2,7,2688
2024-10-01T00:00:00,1009,3,2,768
2024-10-01T00:00:00,1010,1,9,3456
2024-10-01T00:00:00,1010,2,0,0
2024-10-01T00:00:00,1010,3,8,3072
